"ID","NODES","EDGES","TOT_MOVES","LEADER_MOVES","SHADOWS"
"f7db423c-6ae9-4b90-84e2-62ca8e836a16","30","331","1316","282","25",
"01378e88-01af-475e-bec8-2e0f8cc70f8d","30","344","399","42","16",
"9e38b1e1-4447-4f1f-bc72-773e0b724756","30","360","200","8","18",
"bc37668f-5787-4e9a-ad2a-f56472e8237e","30","291","226","15","12",
"f7c2eab6-fa6d-4d67-ad5f-ae72689ce776","30","323","419","59","13",
"04cc124f-89bf-4c78-bd8d-2077d1629314","30","295","72","0","16",
"80900fb6-4a64-4eb6-badf-e723cc821fb4","30","316","241","23","14",
"a2a7e4a6-0e6f-462c-829a-deff2404ce13","30","341","455","62","15",
"5ca9840a-09f0-4565-9232-3809eda915fe","30","338","353","32","15",
"28ba1a42-b288-463c-bce1-0b1c5cfab0fa","30","334","1286","281","23",
"155ad5b8-673c-4779-86ed-6f80a08aab4e","30","277","509","82","13",
"c8786c62-0cdb-4b54-844f-21012cfc519d","30","360","1210","260","21",
"3c87ab61-8e4c-4ce4-b867-46e2178fbbf0","30","339","1286","286","22",
"39d06454-aefa-4659-a7a9-ae4dbab18471","30","307","1277","279","25",
"a7e7806e-451f-4ee6-9561-9bc5a77dc58f","30","321","161","9","14",
"d736fb56-e7fd-4a7c-b428-e5116a787f2f","30","315","154","3","12",
"e417ce3a-a816-452c-9fc5-7b7992fc9aa8","30","295","114","4","12",
"2824ab7d-afc8-48c1-905e-1e0027a55b24","30","334","692","105","17",
"3c3c1548-c4ac-461c-a7d4-a0b52815fa95","30","308","84","2","11",
"014ea2b1-0aef-404e-8dc4-f575ddd688a3","35","493","2004","464","28",
"f6ab04be-ec1e-4da1-bec0-d176411f0319","35","426","988","177","20",
"71bba859-dd22-49e3-b6e5-586411d1caff","35","431","1015","192","18",
"ed2d0c78-e9b5-4e87-bfd8-8457e9ede9ef","35","425","132","4","19",
"5ab7b373-0e27-46e1-a4ca-451f061d97c9","35","496","360","28","22",
