"ID","NODES","EDGES","TOT_MOVES","LEADER_MOVES","SHADOWS"
"9593171f-1cdc-4be4-a948-0425ed323c11","30","318","140","7","15",
"2304b751-f75d-4cb3-b5bf-11f37945bbe3","30","362","1131","218","22",
"e28f48ad-a9d0-4bd6-8db1-569949093306","30","270","161","14","9",
"7399b1b9-c80d-4438-9d14-e8f80b6170c5","30","341","93","2","14",
"905522ed-7025-4585-bd7c-2f8d5671246a","30","347","239","14","14",
"b65c6c4c-10c4-4f16-ac40-eef268bf2f29","30","329","133","2","15",
"c0647e31-4292-4b42-8235-19e7ae336051","30","359","139","0","17",
"d4ede84e-36fc-4c04-9ae4-39f0aaebf0c0","30","356","266","20","17",
"589b443d-7b4f-4b38-ab59-c72e03aff6b5","30","320","91","2","14",
"5b9ca28e-5642-4cfc-a60f-662df5c9307c","30","321","116","5","10",
"adda4069-0013-4dd6-9988-09dbee056011","30","369","1324","286","21",
"288c17ca-88ea-4e98-b03a-8516b347663e","30","352","143","5","14",
"5dd20cc6-d320-4520-b46c-014e6e9ef566","30","296","372","50","14",
"75c2feda-c677-46e9-9616-01b99efb4bf2","30","330","238","21","15",
"1f728250-7dc2-44c9-8344-7e60c7381dfa","30","334","147","7","14",
"c5b49161-485d-488a-b7f0-03af7802bc89","30","295","64","0","12",
"d6c8c182-18d5-487a-9cff-2d50b7a5271f","30","342","62","0","12",
"99204911-a024-4c84-8c39-b14d63c258d9","30","331","236","18","15",
"1f9edfa3-d282-4f78-a47a-a16a54170b5f","30","338","111","2","17",
"f845a50f-e0af-4193-b8e9-949fa8a6913a","30","338","98","0","10",
"f11daa90-9fe4-4fa3-b529-784d5436ded1","35","449","61","0","13",
"4a1e197f-2e9f-4ba8-bdb6-1f1051c0ab09","35","453","667","86","18",
"c4a36831-560a-479a-b31a-7acedef2ffe6","35","463","1555","318","25",
"1b3141f5-4b01-487c-a3b5-34e874354d5c","35","445","1598","331","28",
"8076a733-dfd8-40e5-899c-9b4124c5b4bf","35","456","279","23","18",
"70b9fc04-fa9b-4687-ae32-f8408696cc0f","35","441","1986","440","34",
"3b699ec7-b166-4613-9556-b75b5f3e4116","35","387","219","18","15",
"584d5d50-4d9d-4b26-af4f-c409cfb4400d","35","478","267","11","20",
"14d0cac7-5074-4c0e-bada-d6ffc614edf3","35","488","1082","169","21",
"f3208b04-31d2-48ce-9d33-29afc8912aad","35","423","168","5","16",
"c7190b30-5b52-4e08-9ca5-7b394e0589b5","35","493","301","27","21",
"db269696-5955-4e66-ac83-5ce8d3e0f64f","35","346","144","7","13",
"36238b4f-7424-44d8-a8ee-cd1e8eb2fcbd","35","430","132","5","17",
"b7f45933-2bc2-4fae-bb1c-a75fee64625f","35","455","279","20","18",
"c01b1382-da49-412a-b345-15a6a0327df2","35","498","422","36","21",
"5e9deab1-998d-465c-9593-5998cd277ad1","35","466","1085","200","18",
"3f94dc6e-d8df-4a63-ab0f-148f7b9b4612","35","425","307","25","18",
"3e345333-fe46-4ed8-abde-487aaa28985e","35","466","215","6","19",
"02e33ab2-b0b8-44d0-a252-656581fce98b","35","441","1001","182","17",
"258f7819-a20b-4afc-ab84-5b51336f204b","35","463","147","2","15",
"3d43b2e7-abe4-40f0-a057-9f7019a36407","40","590","164","9","17",
"2aa8c8c0-6081-4e2e-ba88-dabfa24b1c29","40","519","99","0","17",
"33c19589-15de-4cde-bba0-2d36892ba46f","40","584","194","9","15",
"a36a3c05-fc99-45fa-a069-4cc81bd394fa","40","617","652","78","23",
"6063eb69-b7a9-4f86-8542-c36819678813","40","636","606","68","24",
"46964039-27ee-4e4c-8325-3a72b14c08c3","40","645","359","22","24",
"44cb5977-86b6-4f43-b3c3-1edfbe50f31c","40","608","259","13","21",
"f73e934f-08f2-4479-b3c3-1d84c93acd91","40","523","1658","346","23",
"e3d6a824-05c2-4cca-b146-34b05aa8ed95","40","575","757","104","19",
"39e53b17-1a71-40a8-8352-7bf22e63cd72","40","627","304","22","22",
"b4753c0f-62a2-4efa-a07e-46ba968649cb","40","582","113","2","18",
"41530cec-9167-4e11-ba07-c1165fc32ef4","40","509","84","0","12",
"52ca707f-2067-4ea6-a6ee-f7c0be0e2616","40","563","513","62","20",
"f1656877-cbe9-4d08-ac27-94e73366a229","40","625","435","41","22",
"8f5562d9-a73d-4c6f-8f31-4579adc74e5c","40","587","369","28","21",
"7979522e-b3d5-45f7-9402-7a715217ca30","40","572","161","4","19",
"c48e7d95-57d9-4b89-ac11-0307670a8bb9","40","574","1846","371","23",
"c90024ef-f003-43ff-937f-cf040c108ffb","40","583","376","30","18",
"0932d009-e2a1-4406-9dbd-4aa8d6637166","40","613","496","54","21",
"c97a608e-aafc-41a3-ae5f-0fdd4c1d17e5","40","585","1893","385","27",
"35e2cf89-583c-46ba-8824-4815d9dd1ba5","45","759","2734","589","34",
