"ID","NODES","EDGES","TOT_MOVES","LEADER_MOVES","SHADOWS"
"4e63b953-3270-4804-8bec-bc3aa9c39c1d","30","337","172","11","13",
"0fa4970c-8554-4a58-9f6b-c8ddc76b6b1e","30","342","1071","225","21",
"4f0b6314-f13f-46ef-9d97-92b3a0449bef","30","294","832","165","17",
"39d04002-63f2-4ce5-9348-60a5f2500cfc","30","353","192","11","17",
"8cbe813d-c51b-4404-bdc5-fdc37d3484a3","30","361","391","43","18",
"2511c59c-4c2b-4c59-9819-f59f58927cf7","30","293","498","75","15",
"a43b4c7e-3479-40e2-830f-1d5ffd9563da","30","358","86","2","11",
"ea56c1cb-844d-442d-b828-d63214ae17de","30","341","82","2","11",
"5ae3667c-0f0f-4b22-b301-6350c2b37995","30","307","57","0","11",
"10145a5c-32b8-4712-b88d-809207dcfcf8","30","330","214","18","15",
"a1f0744d-23ad-40a1-b0bb-0c07c1dd1d3f","30","328","1105","221","23",
"82cfa8c6-0e3b-4a22-bcaa-8b61176984c0","30","345","325","34","17",
"6dcddcba-2785-4d95-9231-1aa02d0204ce","30","309","793","146","16",
"92fbeb3b-782c-4397-bdf7-e6cc2fb65350","30","330","1180","232","21",
"f5e67412-ac2f-4b8a-be1d-edf061c09324","30","288","421","57","14",
"ed71a8d8-f3b8-4486-909f-d27b1c9026fc","30","339","528","79","16",
"ec213bdc-f01e-4dac-8ea2-a175ae952d8a","30","342","612","94","13",
"511b2a77-a789-40fe-8572-9a5b2eaba584","30","352","506","75","14",
"0bd7a15d-667a-4c69-afaa-79500189051c","30","351","292","22","17",
"1607c35a-e230-4964-a202-0e3e3a4761fb","30","298","879","163","20",
"862686b4-c15d-4f1f-9e55-2090ac4ba5d2","35","493","1527","307","26",
"7cedca07-465d-4cd2-b3f6-35b99377218f","35","484","152","4","20",
"266f29c4-cea9-433b-bbcb-182b9a19e0c2","35","471","1634","338","27",
"b26934d7-0bd7-442b-9aff-1ce575c321e2","35","460","148","5","21",
"ec5ae208-47ff-4df2-94f3-98c38a866ecf","35","435","433","44","18",
"f1daec0b-15db-42d3-b03c-491d5b59bc00","35","424","447","53","14",
"a0556fbb-6dd0-428b-a09a-511c1d51bac1","35","436","1919","435","28",
"337cc789-4ad0-4261-86b2-607a6b7b57a3","35","475","898","144","18",
"09cdb1f8-1f7c-42a8-8fc9-508e8f98768f","35","431","1554","331","23",
"bd647f42-95c4-4806-8dee-4eed23b2f5c2","35","455","317","26","19",
"dcaceaf4-509e-4614-a82c-443cb6159499","35","435","545","71","18",
"6b371c63-54c8-47ce-a3d5-6b9744e973b6","35","425","449","56","17",
"17879db2-b4a9-4888-9e3f-01110f2933e2","35","469","258","18","18",
"cde9db2f-7fe9-4b7e-b47a-d4e3ef33279e","35","467","181","9","20",
